ID,x,y
4635,206.69052,278.5355
4639,330.771,278.8258
4630,201.8864,279.30194
4621,389.79773,277.3858
4620,388.59814,277.1187
4623,435.65594,277.1884
4622,450.1256,273.35614
4625,316.8039,277.96646
4624,325.2162,267.9213
4627,388.96222,277.78064
4626,389.53735,277.8155
4629,203.04318,279.13934
4628,447.31018,277.16516
4663,359.36798,278.1058
4662,363.1611,276.90967
4661,380.50354,277.69934
4660,384.35175,276.86322
4659,186.74223,280.4516
4657,207.21124,280.2542
4658,188.63733,278.07098
4655,140.35675,272.9729
4656,212.43675,280.21936
4653,425.60602,277.3161
4654,149.1788,278.36127
4650,413.302,276.24774
4652,427.75278,277.60645
4651,230.00183,277.32776
4646,471.92767,276.2013
4647,337.0706,277.39743
4648,334.66638,279.0697
4649,418.76318,277.59485
4642,216.871,278.7329
4643,213.2164,279.1742
4644,459.94348,277.3045
4645,475.1522,276.89807
4681,243.13339,277.04904
4680,195.28798,278.87225
4685,433.73328,278.88385
4684,391.1743,279.11612
4683,393.45016,278.59357
4682,478.40497,277.6529
4677,332.80463,279.69678
4678,210.1355,281.02063
4675,353.41214,277.96646
4676,350.73737,280.1729
4679,208.06416,281.09033
4670,346.84564,279.91742
4672,204.5336,280.5213
4671,206.8392,281.02063
4674,409.74097,277.0258
4673,412.71234,279.22064
4664,346.1211,276.64258
4665,340.87384,279.49936
4666,375.65735,278.60516
4667,371.44794,277.42065
4668,424.7553,279.12775
4669,423.29175,277.96646
4698,431.7185,280.64905
4697,169.17569,280.66064
4699,430.76627,279.46454
10918,387.55524,575.3613
10917,392.46234,573.83997
10919,294.7799,576.0813
10924,278.4079,577.28906
10925,274.3798,573.7123
10926,420.99045,574.1303
10927,416.30383,575.6516
10920,237.88179,574.83875
10921,238.43588,578.06714
10922,436.00842,573.83997
10923,432.10144,576.13934
4689,192.86923,282.03098
4688,406.3489,277.76904
4687,409.00116,280.20773
4686,188.97531,281.6245
10909,401.49982,575.489
10908,404.87952,572.98065
10907,336.79065,576.4413
10906,339.0716,575.26843
10915,248.76288,577.41675
10916,246.32599,576.9058
10913,377.6119,573.7819
10914,369.90167,573.6542
10911,258.57202,571.02966
10912,233.92767,576.55743
10910,263.51468,576.1858
4695,185.18219,281.36902
4696,257.6328,278.14066
4693,208.19617,281.99612
4694,206.97119,281.92645
4691,340.9616,280.86966
4692,436.5277,279.05804
4690,348.79517,280.66064
10939,226.59167,578.7987
10942,316.01047,578.2877
10943,314.4809,579.809
10944,286.9478,578.2993
10945,282.30396,577.85803
10946,439.59775,575.7329
10947,436.40735,578.0322
10948,317.40588,578.3806
10949,317.2666,579.9949
10940,314.62012,578.1948
10941,308.81732,579.4142
595,221.95218,97.002594
594,137.22797,99.26712
597,318.03394,97.59482
596,320.48895,95.9458
599,336.93207,97.28128
598,134.56627,99.6387
10929,294.25992,575.9071
10933,188.22757,578.3226
10934,183.04486,576.7548
10931,304.68262,577.4516
10932,299.0597,578.4619
10937,408.43115,575.3845
10938,404.4386,577.54456
10935,292.9784,578.671
10936,291.95142,579.2284
590,309.79065,97.96646
591,308.5345,96.46838
10930,290.8541,577.64905
592,104.86105,98.98837
593,303.4758,97.50195
10901,334.67725,574.95483
10900,250.19019,575.5006
10903,346.03915,575.02454
10902,334.25153,576.2439
10905,316.33105,574.4787
10904,226.3458,576.39484
6770,205.23636,385.31613
10894,280.28052,575.8606
6771,337.9728,380.68256
10895,277.02698,571.44775
10896,289.21646,574.58325
10897,432.46988,571.98193
6774,334.35303,384.80518
10890,188.41322,573.3987
6775,332.50726,380.8103
10891,447.40735,574.39746
6772,116.2092,383.45807
10892,305.00684,573.5613
6773,111.14906,384.73547
10893,300.40286,575.0709
