ID,ï»¿X,Y,ID_NODO,TIPO_NODO,,
224,-412006.0262,4929042.07,BARRIO_079073,Centroide_Barrio,,
225,-411162.7438,4929044.317,BARRIO_079074,Centroide_Barrio,,
226,-410200.613,4929131.037,BARRIO_079046,Centroide_Barrio,,
227,-412774.3056,4929270.745,BARRIO_079072,Centroide_Barrio,,
228,-413508.0157,4929354.721,BARRIO_079071,Centroide_Barrio,,
229,-407839.4774,4929655.507,BARRIO_079044,Centroide_Barrio,,
230,-411631.0043,4930442.354,BARRIO_079075,Centroide_Barrio,,
231,-413211.4666,4930486.549,BARRIO_079076,Centroide_Barrio,,
232,-408523.9567,4930616.296,BARRIO_079052,Centroide_Barrio,,
233,-410174.3978,4930784.093,BARRIO_079051,Centroide_Barrio,,
234,-408877.8526,4931301.854,BARRIO_079053,Centroide_Barrio,,
235,-411553.2349,4931776.002,BARRIO_079062,Centroide_Barrio,,
236,-412732.1604,4931911.649,BARRIO_079061,Centroide_Barrio,,
237,-415999.5051,4932123.321,BARRIO_079093,Centroide_Barrio,,
238,-408548.1899,4932359.236,BARRIO_079054,Centroide_Barrio,,
239,-412439.0652,4933049.256,BARRIO_079066,Centroide_Barrio,,
240,-411371.7323,4933076.088,BARRIO_079063,Centroide_Barrio,,
241,-409378.8276,4933480.951,BARRIO_079055,Centroide_Barrio,,
242,-413381.0713,4933511.463,BARRIO_079094,Centroide_Barrio,,
243,-412345.0427,4934042.75,BARRIO_079065,Centroide_Barrio,,
244,-411248.6779,4934575.099,BARRIO_079064,Centroide_Barrio,,
245,-409627.9618,4935110.472,BARRIO_079056,Centroide_Barrio,,
246,-412913.3045,4935729.179,BARRIO_079084,Centroide_Barrio,,
247,-411562.3384,4936118.803,BARRIO_079085,Centroide_Barrio,,
